AREACD,AREANM,10yr change,25yr change,65+ 2012,65+ 2022,65+ change,85+ 2022
E06000001,Hartlepool UA,2.8,5.8,17.6,20.6,20.8,3.1
E06000002,Middlesbrough UA,2.9,6.8,15.3,17.7,18.7,2.6
E06000003,Redcar and Cleveland UA,0,-0.5,20.3,23.8,17.3,3.4
E06000004,Stockton-on-Tees UA,5.9,12.2,16.3,19.4,25.7,2.8
E06000005,Darlington UA,1.6,3.2,18.3,21.7,20.6,3.4
E06000006,Halton UA,2,3,15.6,20.1,31.6,2.4
E06000007,Warrington UA,7.5,15.7,16.7,19.4,24.7,2.6
E06000008,Blackburn with Darwen UA,1.6,2.9,13.4,15.9,20.4,2
E06000009,Blackpool UA,-0.2,1.1,19.7,21.4,8.4,3.2
E06000010,Kingston upon Hull; City of UA,2.3,5.9,14.3,16.4,16.8,2.3
E06000011,East Riding of Yorkshire UA,4.6,9.8,22.5,26.9,24.8,4
E06000012,North East Lincolnshire UA,1.1,2.4,18.5,21.5,17.7,3.3
E06000013,North Lincolnshire UA,4.7,9.4,18.7,22.6,26.2,3.3
E06000014,York UA,6.2,14.5,17.4,19.5,18.9,3.1
E06000015,Derby UA,7.1,16.3,15.5,16.7,15.3,2.7
E06000016,Leicester UA,5.7,14,11.5,13.4,23.4,2
E06000017,Rutland UA,3.5,10.2,22.3,27.6,28.5,4.6
E06000018,Nottingham UA,4.8,14.1,11.7,12.7,13.5,1.9
E06000019,Herefordshire; County of UA,5.5,11.8,22.1,26.3,25.5,4
E06000020,Telford and Wrekin UA,3.9,7.7,15.2,19.1,30.9,2.4
E06000021,Stoke-on-Trent UA,3,6.6,16.1,18.1,15.8,2.3
E06000022,Bath and North East Somerset UA,4.5,12.1,18.7,21.1,18.4,3.4
E06000023,Bristol; City of UA,9.7,22.1,13.2,13.8,14.2,2.2
E06000024,North Somerset UA,10.4,23.8,21.9,25.1,26.4,4.1
E06000025,South Gloucestershire UA,8.6,19.6,17.5,19.9,23.6,3
E06000026,Plymouth UA,3.3,8.6,16.8,19.2,17.9,2.9
E06000027,Torbay UA,3.9,10.4,24.6,28.1,19,4.8
E06000028,Bournemouth UA,8.6,20.5,17.8,19.1,16.2,3.5
E06000029,Poole UA,8.1,18.3,21.2,23.5,20.1,4.2
E06000030,Swindon UA,12,26,14.3,17,33,2.5
E06000031,Peterborough UA,11.4,23.5,13.9,15.5,24.2,2.3
E06000032,Luton UA,12.1,26.1,11.9,12.5,18.1,2
E06000033,Southend-on-Sea UA,7.5,18.7,18.3,20.3,19.4,3.3
E06000034,Thurrock UA,10.6,25.5,13.2,15,25.9,1.9
E06000035,Medway UA,9.2,21.9,14.6,17,27.2,2.1
E06000036,Bracknell Forest UA,9.9,20.6,13,15.8,34.1,2.2
E06000037,West Berkshire UA,6.4,13.2,16.3,20.2,32.2,2.8
E06000038,Reading UA,5.1,12.2,11.8,13.4,19.5,2.2
E06000039,Slough UA,12.7,26.9,9.2,10.5,28.2,1.5
E06000040,Windsor and Maidenhead UA,8.6,18.8,17.3,19.5,22.5,3.5
E06000041,Wokingham UA,9.6,18.8,16.1,19.2,30.7,3.1
E06000042,Milton Keynes UA,13.9,28.9,11.7,15.4,49.6,2
E06000043,Brighton and Hove UA,6.9,17.5,13.3,14.1,13.7,2.3
E06000044,Portsmouth UA,6.6,16.5,13.8,15,16.2,2.3
E06000045,Southampton UA,6.3,15.8,13.2,14.5,16,2.3
E06000046,Isle of Wight UA,4.1,11,24.9,29,21,4.5
E06000047,County Durham UA,3.8,8.2,18.8,22.2,22.7,3
E06000048,Northumberland UA,1.6,2.7,21.1,26.4,27.1,3.8
E06000049,Cheshire East UA,4.1,8.9,20.2,24.4,25.3,3.9
E06000050,Cheshire West and Chester UA,2.4,4.8,19.4,23.2,22.9,3.5
E06000051,Shropshire UA,4.2,9,21.6,26.2,26.6,4
E06000052,Cornwall UA,8.4,19,22.6,25.9,23.9,3.8
E06000053,Isles of Scilly UA,-8.4,-13.3,24.1,28,6.6,3.8
E06000054,Wiltshire UA,5.8,13,18.9,23.2,29.8,3.6
E06000055,Bedford UA,10.8,24.8,16.4,18.7,26.8,3
E06000056,Central Bedfordshire UA,12.7,28,16.3,19.4,33.8,2.6
E07000004,Aylesbury Vale,11.2,23.8,15.6,19.3,37.2,2.8
E07000005,Chiltern,3.2,9.2,20.3,23.4,18.5,4.1
E07000006,South Bucks,9.6,22.5,20.1,23,25,4.2
E07000007,Wycombe,5.9,13.4,16.5,19.2,23.4,3
E07000008,Cambridge,1.5,9.2,12,14.2,19.7,2.7
E07000009,East Cambridgeshire,15.5,31.4,17.9,20.4,31.8,2.9
E07000010,Fenland,7.2,17.4,21,24.5,25.1,3.9
E07000011,Huntingdonshire,7.5,16.8,17.2,21.6,35,3.1
E07000012,South Cambridgeshire,12.8,25.2,17.5,20.4,31.6,3.2
E07000026,Allerdale,0,-1.5,21.7,26.3,20.8,3.8
E07000027,Barrow-in-Furness,-1.8,-4.7,19.7,23.3,16.1,3.3
E07000028,Carlisle,0.6,0.3,19.2,23.1,20.7,3.5
E07000029,Copeland,-1.5,-4.4,19.8,24.5,21.6,3.4
E07000030,Eden,0.8,1.3,23,28.5,25,4.4
E07000031,South Lakeland,0.2,0.8,25.5,30.3,19.3,4.8
E07000032,Amber Valley,5,11.4,19.6,23.9,27.8,3.5
E07000033,Bolsover,4.2,9.5,18.8,21.7,20.2,2.9
E07000034,Chesterfield,2.6,6.5,19.3,22.6,19.7,3.3
E07000035,Derbyshire Dales,3.8,9.4,23.5,29,28.4,4.3
E07000036,Erewash,5.6,13,18.7,21.6,22.2,3.4
E07000037,High Peak,4.1,9.3,18.1,22.5,29.6,2.9
E07000038,North East Derbyshire,3.6,7.8,22.1,26,22.3,3.6
E07000039,South Derbyshire,10.9,22.5,16.3,19.9,35.3,2.6
E07000040,East Devon,5.6,14.2,28.8,32.3,18.5,5.7
E07000041,Exeter,4.4,12.2,15.9,17.7,16.2,3.2
E07000042,Mid Devon,6.7,14.4,21.3,25.2,26.5,3.8
E07000043,North Devon,4.4,10.8,23.2,26.7,20.1,4.3
E07000044,South Hams,3,7.5,25,29.9,23.4,4.2
E07000045,Teignbridge,5.6,13.1,24.4,28.3,22.3,4.5
E07000046,Torridge,8.9,19.6,24.4,28.5,27.1,4.1
E07000047,West Devon,9.9,21.4,24.4,29,30.5,4.6
E07000048,Christchurch,8.3,20.4,30.6,32.2,14,5.9
E07000049,East Dorset,4.8,12.8,29.1,33.1,19.2,5.9
E07000050,North Dorset,3,7.9,22.6,27.6,25.9,4.2
E07000051,Purbeck,3.4,8.9,25.3,29.1,19.2,4.4
E07000052,West Dorset,4,10.6,27.5,32.5,22.9,5.4
E07000053,Weymouth and Portland,0.7,3.4,22,26.9,23,4
E07000061,Eastbourne,6.4,17.7,23.3,26.2,20.1,5.1
E07000062,Hastings,6.1,16,17.9,21,24.5,3.1
E07000063,Lewes,9.9,23.3,23.5,26.6,24.4,4.7
E07000064,Rother,6.8,19.1,29.6,33.2,19.9,5.8
E07000065,Wealden,6,15.1,23.9,28,24.4,4.3
E07000066,Basildon,6.6,16.3,16.6,18.8,20.3,2.9
E07000067,Braintree,8.5,19.7,17.6,21.8,34,3.3
E07000068,Brentwood,7.8,21.1,19.9,21.6,17.3,4.1
E07000069,Castle Point,4.3,12.3,23,27.4,24.4,4.1
E07000070,Chelmsford,6.8,16.2,17.6,20.8,26.2,3.3
E07000071,Colchester,10.5,23.4,16.4,18.9,27.3,2.8
E07000072,Epping Forest,9.8,25.4,18.9,20.7,20.2,3.5
E07000073,Harlow,8.5,20.5,15.3,16.6,18.1,2.8
E07000074,Maldon,5,13.1,21.5,27.1,32.6,3.8
E07000075,Rochford,4.9,13.3,21.2,24.6,21.7,3.6
E07000076,Tendring,6.6,18.9,28.1,31,17.7,4.9
E07000077,Uttlesford,14.7,32.1,17.9,21.1,34.9,3.4
E07000078,Cheltenham,7,16.5,17.3,19.7,21.8,3.4
E07000079,Cotswold,3.8,10.3,23.3,28.4,26.2,4.6
E07000080,Forest of Dean,3.7,8.5,21.7,27.1,29.6,3.9
E07000081,Gloucester,9.5,20.5,15.3,17.7,26.6,2.6
E07000082,Stroud,6.2,14.5,20.4,24.7,28.3,3.7
E07000083,Tewkesbury,9.9,21,21.1,24.2,26.2,3.7
E07000084,Basingstoke and Deane,11.5,23.6,15.2,18.3,34.1,2.5
E07000085,East Hampshire,5.9,13.8,20.3,25.3,31.7,4.1
E07000086,Eastleigh,9.3,19.6,17.3,20.6,29.7,3
E07000087,Fareham,6.8,15.6,21.3,25,25.2,4.1
E07000088,Gosport,4.1,10.2,17.8,21.8,27.3,3.4
E07000089,Hart,5.1,10.8,17.4,21.6,29.8,3.3
E07000090,Havant,3.9,10.5,21.9,25.3,19.9,4.3
E07000091,New Forest,6.2,15.2,26.1,30.2,22.5,5.4
E07000092,Rushmoor,4.2,10.5,12.8,16.1,30.7,2.4
E07000093,Test Valley,4,9.6,19.5,24.3,29.4,3.9
E07000094,Winchester,7.6,17,19.5,22.8,25.8,4
E07000095,Broxbourne,8,20.3,17,18.4,17.3,2.9
E07000096,Dacorum,10,22.8,16.2,18.3,23.6,3
E07000097,East Hertfordshire,10.4,24,16.2,18.9,28.4,2.9
E07000098,Hertsmere,10.8,25.8,17,19.1,24.8,3.4
E07000099,North Hertfordshire,10.7,24.6,17.6,19.8,24.5,3.5
E07000101,Stevenage,8.4,20,14.6,16.5,22.5,2.6
E07000102,Three Rivers,11.2,25.8,17.3,19.2,23.5,3.4
E07000103,Watford,13.2,28.5,12.7,13.8,23.2,2.3
E07000105,Ashford,10.9,24.1,17.8,20.7,29.6,3.1
E07000106,Canterbury,3.9,13.6,19.4,22.8,21.9,3.7
E07000107,Dartford,12.9,29.3,14.6,15.9,22.8,2.6
E07000108,Dover,3.4,9.4,21.2,26.1,27.3,3.8
E07000109,Gravesham,8,19.6,16.7,18.2,18.1,2.9
E07000110,Maidstone,11.4,25.5,17.9,20.7,28.3,3.2
E07000111,Sevenoaks,8.2,19.9,19.7,22.4,22.7,3.5
E07000112,Shepway,5.9,15.3,21.9,25.8,24.9,4.1
E07000113,Swale,12,27.3,17.6,20.4,30,2.6
E07000114,Thanet,8.8,21.6,21.9,24.3,20.5,3.5
E07000115,Tonbridge and Malling,10.1,23.3,17.7,20,24.5,2.9
E07000116,Tunbridge Wells,8.4,19.8,17.5,20.3,25.7,3.6
E07000117,Burnley,0,-0.3,16.9,20.1,18.6,2.8
E07000118,Chorley,7.8,15,17.7,21.2,29.7,2.8
E07000119,Fylde,4,8.8,25.1,28.9,19.5,4.8
E07000120,Hyndburn,-0.3,-0.9,16.7,19.8,18.1,2.6
E07000121,Lancaster,1.9,6,18.9,21.6,16.5,3.3
E07000122,Pendle,3,5.1,16.8,19.8,21.3,2.7
E07000123,Preston,1,3.5,14.1,16.1,15.5,2.4
E07000124,Ribble Valley,2.8,5.9,21.1,25.1,22.6,3.9
E07000125,Rossendale,5.5,10.5,16.3,19.6,26.8,2.4
E07000126,South Ribble,4.1,7.7,18.8,22.4,23.6,3.1
E07000127,West Lancashire,0.5,1.4,19.8,23.8,21,3.6
E07000128,Wyre,3.1,6.8,25.5,28.4,14.9,4.4
E07000129,Blaby,5.4,11.9,18.9,22.3,24.4,3.4
E07000130,Charnwood,9.6,21.6,17,19.8,27.6,3.1
E07000131,Harborough,7.5,16.5,19.3,24.1,34.5,3.6
E07000132,Hinckley and Bosworth,6.4,13.8,19.3,23.6,30.3,3.2
E07000133,Melton,6,13.2,19.2,23.8,31.4,3.3
E07000134,North West Leicestershire,4.8,11,18.3,22.2,26.9,2.9
E07000135,Oadby and Wigston,0.2,5,20.1,23.5,17,4.5
E07000136,Boston,9.7,19.9,20.5,22.5,20.3,3.5
E07000137,East Lindsey,5.4,12.4,27.1,30.8,19.7,4.2
E07000138,Lincoln,2.7,9.8,14.5,17.3,22.4,2.7
E07000139,North Kesteven,8.5,17.3,21.7,25,24.9,3.6
E07000140,South Holland,9.6,21.6,23.2,25.9,22.2,4.2
E07000141,South Kesteven,7.7,17.2,20.1,24.5,31.5,3.6
E07000142,West Lindsey,6.4,13.2,21.9,26.2,27.4,3.4
E07000143,Breckland,7.1,16.6,22.5,26.4,25.4,4.3
E07000144,Broadland,4.8,12.5,23.5,27.4,22.5,4.4
E07000145,Great Yarmouth,5.2,12.7,22,25.2,20.3,3.8
E07000146,King's Lynn and West Norfolk,5.9,13.9,23.8,26.9,19.6,4.1
E07000147,North Norfolk,5.2,13.4,30,34.3,20.3,5.8
E07000148,Norwich,7.9,17.9,14.8,15.5,13.2,2.6
E07000149,South Norfolk,12.4,25.6,22.4,25,25.3,3.7
E07000150,Corby,15.5,32.7,13.8,15.3,28.1,1.8
E07000151,Daventry,5.7,13.1,18,23.5,38.3,3
E07000152,East Northamptonshire,5.5,13.2,17.9,23.2,36.6,3.3
E07000153,Kettering,9.4,20.5,16.8,19.9,29.9,2.9
E07000154,Northampton,10.6,22.8,13.8,16.1,28.7,2.3
E07000155,South Northamptonshire,6,13.9,18.2,23.4,36.5,3.3
E07000156,Wellingborough,5.9,13.3,17.3,20.9,27.3,2.7
E07000163,Craven,2.1,6,23.9,29.9,27.8,4.9
E07000164,Hambleton,2,3.9,22.6,27.8,25.6,4.3
E07000165,Harrogate,2.9,6.6,20.6,24.9,24.7,4.3
E07000166,Richmondshire,1.2,2.6,17.8,22.3,26.7,3
E07000167,Ryedale,2.5,5.7,24.2,28.7,21.3,4
E07000168,Scarborough,0.6,2.5,24.3,28.4,17.6,4.4
E07000169,Selby,8.7,17.9,17.8,21.7,32.4,3
E07000170,Ashfield,6.4,13.6,17.6,20.4,23.1,2.6
E07000171,Bassetlaw,3.9,8.5,19.4,23.6,26.3,3.3
E07000172,Broxtowe,6.8,15,19.1,21.4,19.7,3.2
E07000173,Gedling,6,13.7,19.2,22,21.4,3.3
E07000174,Mansfield,3.2,7.2,17.7,20.8,21.5,2.9
E07000175,Newark and Sherwood,5.9,12.9,19.9,23.4,24.6,3.3
E07000176,Rushcliffe,7.2,16.2,19.4,23,26.9,3.7
E07000177,Cherwell,6.5,13.6,16.1,19.7,30.7,3
E07000178,Oxford,4.3,11.8,11.2,12.5,16.6,2.1
E07000179,South Oxfordshire,5.1,11.6,19,22.6,25.3,3.7
E07000180,Vale of White Horse,6.2,13.1,18.7,22.2,26,3.7
E07000181,West Oxfordshire,8.4,17.7,18.9,22.8,30.5,3.8
E07000187,Mendip,5.7,13.5,20.4,25.1,29.8,3.9
E07000188,Sedgemoor,8.2,18.2,21.2,24.8,26.3,3.6
E07000189,South Somerset,5.5,12.2,22.5,27,26.5,4.3
E07000190,Taunton Deane,7.1,16.2,20.8,24.8,27.6,4.2
E07000191,West Somerset,2.6,8.7,30.3,34.6,17.2,5.6
E07000192,Cannock Chase,3.5,6.9,16.9,20.7,27.3,3
E07000193,East Staffordshire,6.7,14.4,17.6,20.9,26.5,3.1
E07000194,Lichfield,5.1,11.1,21.4,25.8,27,3.8
E07000195,Newcastle-under-Lyme,2.3,5.7,18.9,22.3,20.4,3.1
E07000196,South Staffordshire,1.9,4.8,21.8,26.9,25.7,4.1
E07000197,Stafford,3.9,8.1,20.2,24.3,25.2,3.7
E07000198,Staffordshire Moorlands,1.6,2.8,22.1,27.1,24.3,3.9
E07000199,Tamworth,4.2,8.4,15.5,20.4,37.4,2.5
E07000200,Babergh,2.8,8.4,22.8,28.8,29.9,4.4
E07000201,Forest Heath,15.2,31.2,16.8,18.7,28.3,2.7
E07000202,Ipswich,7.6,16.3,15.3,17.2,20.8,2.7
E07000203,Mid Suffolk,5.8,13.3,21.3,26.9,33.6,3.8
E07000204,St Edmundsbury,4.6,11.1,19.9,24,25.9,4
E07000205,Suffolk Coastal,3.6,10.2,24.5,29.9,26.5,4.9
E07000206,Waveney,2.5,7.4,24.8,28.5,17.6,4.8
E07000207,Elmbridge,5.3,13.3,17.1,19.2,18.8,3.7
E07000208,Epsom and Ewell,11.6,26,17.3,18.8,21.3,3
E07000209,Guildford,9.1,18.7,16,17.4,18.8,3
E07000210,Mole Valley,6.3,16.4,21.6,24.7,21.1,4.3
E07000211,Reigate and Banstead,13.8,30.5,17.1,18.9,26.2,3.5
E07000212,Runnymede,10.4,23.4,17,18.5,19.8,3.2
E07000213,Spelthorne,9.5,22.6,17.9,19.4,18.4,3.3
E07000214,Surrey Heath,4,10.2,17.6,21.2,25.5,3.6
E07000215,Tandridge,8.8,21.6,19.2,22.2,25.8,3.8
E07000216,Waverley,7.1,16,20.4,23.3,22.2,4.5
E07000217,Woking,6.8,15.1,15.5,17.9,23.7,3.2
E07000218,North Warwickshire,3.3,8.3,19.3,23.5,25.7,3.1
E07000219,Nuneaton and Bedworth,5.7,13.4,17.5,20.7,25.5,2.8
E07000220,Rugby,8.7,19.1,18.1,20.7,24.5,3.3
E07000221,Stratford-on-Avon,4.9,11.6,23.4,28.6,28.1,4.7
E07000222,Warwick,5.7,15,17.3,19.8,21.3,3.2
E07000223,Adur,6.8,16.9,22.6,24.6,16.2,3.9
E07000224,Arun,8.4,21.1,27.1,30.3,21.3,5.3
E07000225,Chichester,7.8,18.6,25.4,28.4,20.5,5
E07000226,Crawley,10.9,23.6,12.9,14.4,23.2,2.3
E07000227,Horsham,6.8,16,20.5,24.6,28.4,4
E07000228,Mid Sussex,7.2,16.8,18.9,22.1,24.9,3.6
E07000229,Worthing,8.7,21.3,21.3,23.7,21.1,4.3
E07000234,Bromsgrove,5.1,12.6,21.2,25.1,24.5,4.6
E07000235,Malvern Hills,3.8,10.2,25.2,30.2,24.5,5.2
E07000236,Redditch,3,5.4,14.9,20.1,38.9,2.4
E07000237,Worcester,5,11.1,15.3,17.8,22,2.6
E07000238,Wychavon,3.7,8.3,22.4,27.2,25.9,4.1
E07000239,Wyre Forest,1.8,3.7,22,26.8,23.9,3.8
E07000240,St Albans,10.6,22.9,16,17.3,19,3
E07000241,Welwyn Hatfield,10.9,26.1,15.7,16.7,18,3
E08000001,Bolton,6,12.6,15.9,18.3,21.6,2.4
E08000002,Bury,5.3,11.2,16.7,19,20.2,2.6
E08000003,Manchester,6.9,15.8,9.5,10,13.2,1.4
E08000004,Oldham,4.1,8.7,15.2,17.4,19,2.3
E08000005,Rochdale,2.4,5.2,15.2,18,21,2.4
E08000006,Salford,10.2,22.1,14.5,14.8,12.8,2.1
E08000007,Stockport,4.7,10.4,18.8,21.2,18.3,3.3
E08000008,Tameside,6,13.1,16.3,18.8,22.1,2.5
E08000009,Trafford,7,15.2,16.4,18.1,18,2.9
E08000010,Wigan,5.5,11.7,17.1,19.8,22,2.4
E08000011,Knowsley,0.7,1.2,16.2,19.2,19.1,2.8
E08000012,Liverpool,1.6,5.6,14.3,16.2,14.9,2.2
E08000013,St. Helens,4,7.5,18.8,21.9,21.1,2.8
E08000014,Sefton,0.9,2.2,21.6,25,16.6,4.1
E08000015,Wirral,1.7,3.4,19.8,22.9,17.7,3.5
E08000016,Barnsley,6.3,13.3,17.9,20.5,22,2.7
E08000017,Doncaster,2.1,4.3,17.5,20.6,19.9,2.9
E08000018,Rotherham,3.5,7.3,18.1,21,20.3,2.8
E08000019,Sheffield,5.4,13.6,15.9,17,12.7,2.7
E08000020,Gateshead,2.7,5.7,18.2,20.4,15,2.9
E08000021,Newcastle upon Tyne,2.8,8,14.2,16.2,17.4,2.5
E08000022,North Tyneside,5.9,12.2,18.3,21.1,22.1,3
E08000023,South Tyneside,2.6,5.5,18.7,21.7,19,3.1
E08000024,Sunderland,0.8,1.7,17.7,21.2,21,2.8
E08000025,Birmingham,7.2,17,13,13.6,12.6,2.1
E08000026,Coventry,13,29.2,14.7,14.8,14,2.4
E08000027,Dudley,2.7,6.5,19.3,21.8,16.1,3.3
E08000028,Sandwell,9.1,20.4,15.3,15.6,11.5,2.4
E08000029,Solihull,5.5,13.2,19.9,22.2,17.6,3.8
E08000030,Walsall,5.1,11.7,17.4,18.8,13.6,3
E08000031,Wolverhampton,3.4,8.9,16.5,17.8,11.7,3
E08000032,Bradford,6.3,14,13.7,15.7,21.7,2.3
E08000033,Calderdale,6.5,14.1,16.6,19.6,25.2,2.7
E08000034,Kirklees,6.6,14.8,15.9,18.4,23.5,2.5
E08000035,Leeds,6.8,15.7,15,16.3,16.1,2.4
E08000036,Wakefield,5.1,11,17.6,20.5,22.5,2.8
E09000001,City of London,24.4,45,14.5,14.8,26.6,1.3
E09000002,Barking and Dagenham,20.3,44,10.2,9.3,9.3,1.4
E09000003,Barnet,16,34.2,13.5,14.9,27.3,2.6
E09000004,Bexley,10,24.3,16.4,17,13.9,2.8
E09000005,Brent,8.5,19.2,10.7,12.4,25.8,1.8
E09000006,Bromley,11.4,26.8,17.2,17.9,15.8,2.9
E09000007,Camden,12.5,26,11.2,12.1,21.5,1.7
E09000008,Croydon,11.4,25.7,12.5,14.1,24.9,2.1
E09000009,Ealing,10.2,22.1,11,12.6,26.2,1.8
E09000010,Enfield,14.8,32.5,12.6,13.3,21.1,2.1
E09000011,Greenwich,11.6,26.2,10.4,11,18.3,1.5
E09000012,Hackney,13.6,29.3,7.1,7.6,22.4,1
E09000013,Hammersmith and Fulham,2.4,8.9,9.4,10.8,17,1.4
E09000014,Haringey,13,27.9,8.9,10,26.3,1.2
E09000015,Harrow,11.8,25.8,14.3,16.1,25.4,2.5
E09000016,Havering,11.5,29.8,18.3,19.1,16.3,3.3
E09000017,Hillingdon,15.6,33.4,13,13.6,21.2,2.1
E09000018,Hounslow,15.4,31.1,10.7,11.7,26.2,1.5
E09000019,Islington,16.7,33.3,8.8,8.9,17.4,1.1
E09000020,Kensington and Chelsea,1.1,6.5,13,16.5,28.9,2.4
E09000021,Kingston upon Thames,16.1,33.1,13,14.1,26.2,2.2
E09000022,Lambeth,11,23.5,7.7,8.2,19,1.1
E09000023,Lewisham,14.4,31.1,9.5,9.8,17.4,1.4
E09000024,Merton,13.2,27.9,11.8,12.6,20.9,1.9
E09000025,Newham,15.8,32.3,6.8,7.6,30.9,0.9
E09000026,Redbridge,18.6,41.1,12.1,12.2,20.3,1.9
E09000027,Richmond upon Thames,12.9,26.6,14.1,15.7,26.1,2.4
E09000028,Southwark,13.6,28.5,7.8,8.3,20,1
E09000029,Sutton,14.2,31.5,14.9,15.7,20.8,2.4
E09000030,Tower Hamlets,22.1,44.1,6.1,6,19.1,0.8
E09000031,Waltham Forest,12.4,27.7,10.1,10.6,18.4,1.5
E09000032,Wandsworth,9.4,20.6,9,9.8,18.4,1.4
E09000033,Westminster,11.5,23.7,11.3,12.5,23.3,1.8
